,Date,Type
0,2004-01-31,Reflation
1,2004-02-29,Reflation
2,2004-03-31,Reflation
3,2004-04-30,Reflation
4,2004-05-31,Stagflation
5,2004-06-30,Stagflation
6,2004-07-31,Stagflation
7,2004-08-31,Stagflation
8,2004-09-30,Stagflation
9,2004-10-31,Stagflation
10,2004-11-30,Stagflation
11,2004-12-31,Stagflation
12,2005-01-31,Stagflation
13,2005-02-28,Stagflation
14,2005-03-31,Reflation
15,2005-04-30,Reflation
16,2005-05-31,Reflation
17,2005-06-30,Reflation
18,2005-07-31,Reflation
19,2005-08-31,Reflation
20,2005-09-30,Reflation
21,2005-10-31,Reflation
22,2005-11-30,Reflation
23,2005-12-31,Reflation
24,2006-01-31,Recovery
25,2006-02-28,Recovery
26,2006-03-31,Recovery
27,2006-04-30,Recovery
28,2006-05-31,Recovery
29,2006-06-30,Recovery
30,2006-07-31,Recovery
31,2006-08-31,Recovery
32,2006-09-30,Recovery
33,2006-10-31,Recovery
34,2006-11-30,Recovery
35,2006-12-31,Recovery
36,2007-01-31,Reflation
37,2007-02-28,Reflation
38,2007-03-31,Reflation
39,2007-04-30,Reflation
40,2007-05-31,Reflation
41,2007-06-30,Stagflation
42,2007-07-31,Stagflation
43,2007-08-31,Stagflation
44,2007-09-30,Stagflation
45,2007-10-31,Overheat
46,2007-11-30,Overheat
47,2007-12-31,Stagflation
48,2008-01-31,Overheat
49,2008-02-29,Overheat
50,2008-03-31,Overheat
51,2008-04-30,Overheat
52,2008-05-31,Overheat
53,2008-06-30,Overheat
54,2008-07-31,Overheat
55,2008-08-31,Overheat
56,2008-09-30,Stagflation
57,2008-10-31,Stagflation
58,2008-11-30,Stagflation
59,2008-12-31,Stagflation
60,2009-01-31,Reflation
61,2009-02-28,Reflation
62,2009-03-31,Recovery
63,2009-04-30,Recovery
64,2009-05-31,Recovery
65,2009-06-30,Recovery
66,2009-07-31,Recovery
67,2009-08-31,Recovery
68,2009-09-30,Recovery
69,2009-10-31,Recovery
70,2009-11-30,Recovery
71,2009-12-31,Recovery
72,2010-01-31,Recovery
73,2010-02-28,Recovery
74,2010-03-31,Reflation
75,2010-04-30,Reflation
76,2010-05-31,Reflation
77,2010-06-30,Reflation
78,2010-07-31,Reflation
79,2010-08-31,Stagflation
80,2010-09-30,Stagflation
81,2010-10-31,Stagflation
82,2010-11-30,Stagflation
83,2010-12-31,Stagflation
84,2011-01-31,Stagflation
85,2011-02-28,Stagflation
86,2011-03-31,Stagflation
87,2011-04-30,Stagflation
88,2011-05-31,Stagflation
89,2011-06-30,Stagflation
90,2011-07-31,Stagflation
91,2011-08-31,Stagflation
92,2011-09-30,Stagflation
93,2011-10-31,Stagflation
94,2011-11-30,Stagflation
95,2011-12-31,Stagflation
96,2012-01-31,Stagflation
97,2012-02-29,Stagflation
98,2012-03-31,Stagflation
99,2012-04-30,Stagflation
100,2012-05-31,Stagflation
101,2012-06-30,Stagflation
102,2012-07-31,Reflation
103,2012-08-31,Reflation
104,2012-09-30,Reflation
105,2012-10-31,Reflation
106,2012-11-30,Reflation
107,2012-12-31,Reflation
108,2013-01-31,Reflation
109,2013-02-28,Reflation
110,2013-03-31,Reflation
111,2013-04-30,Reflation
112,2013-05-31,Reflation
113,2013-06-30,Reflation
114,2013-07-31,Reflation
115,2013-08-31,Reflation
116,2013-09-30,Recovery
117,2013-10-31,Recovery
118,2013-11-30,Recovery
119,2013-12-31,Recovery
120,2014-01-31,Recovery
121,2014-02-28,Recovery
122,2014-03-31,Recovery
123,2014-04-30,Recovery
124,2014-05-31,Recovery
125,2014-06-30,Recovery
126,2014-07-31,Recovery
127,2014-08-31,Recovery
128,2014-09-30,Reflation
129,2014-10-31,Reflation
130,2014-11-30,Reflation
131,2014-12-31,Reflation
132,2015-01-31,Reflation
133,2015-02-28,Reflation
134,2015-03-31,Reflation
135,2015-04-30,Reflation
136,2015-05-31,Reflation
137,2015-06-30,Reflation
138,2015-07-31,Reflation
139,2015-08-31,Reflation
140,2015-09-30,Reflation
141,2015-10-31,Reflation
142,2015-11-30,Reflation
143,2015-12-31,Reflation
144,2016-01-31,Recovery
145,2016-02-29,Recovery
146,2016-03-31,Recovery
147,2016-04-30,Recovery
148,2016-05-31,Recovery
149,2016-06-30,Recovery
150,2016-07-31,Recovery
151,2016-08-31,Recovery
152,2016-09-30,Recovery
153,2016-10-31,Recovery
154,2016-11-30,Recovery
155,2016-12-31,Recovery
156,2017-01-31,Recovery
157,2017-02-28,Recovery
158,2017-03-31,Recovery
159,2017-04-30,Recovery
160,2017-05-31,Recovery
161,2017-06-30,Recovery
162,2017-07-31,Recovery
163,2017-08-31,Recovery
164,2017-09-30,Recovery
165,2017-10-31,Reflation
166,2017-11-30,Reflation
167,2017-12-31,Reflation
